,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sur,22.5667,59.5289,292.96,62,0,0.43,OM,1613063110
1,bluff,-46.6,168.3333,284.04,80,59,6.32,NZ,1613063111
2,albany,42.6001,-73.9662,270.93,49,88,3.96,US,1613062815
3,severo-kurilsk,50.6789,156.125,271.6,91,100,7.69,RU,1613063113
4,ust-tsilma,65.441,52.1498,249.23,90,83,1.11,RU,1613063114
5,taoudenni,22.6783,-3.9836,302.67,10,0,5.66,ML,1613063115
6,port alfred,-33.5906,26.891,296.48,91,94,2.24,ZA,1613063117
7,ushuaia,-54.8,-68.3,284.15,87,75,8.75,AR,1613063118
8,mataura,-46.1927,168.8643,277.61,93,3,1.03,NZ,1613063119
9,hobart,-42.8794,147.3294,290.93,88,75,3.6,AU,1613062965
10,yellowknife,62.456,-114.3525,252.04,84,90,8.75,CA,1613063122
11,vaitape,-16.5167,-151.75,300.83,71,0,5.71,PF,1613062938
12,san quintin,30.4833,-115.95,288.01,70,3,0.67,MX,1613063124
13,pevek,69.7008,170.3133,243.31,80,0,0.95,RU,1613063125
14,lakes entrance,-37.8811,147.981,294.82,80,100,8.21,AU,1613063126
15,cape town,-33.9258,18.4232,297.59,83,75,10.8,ZA,1613063042
16,nikolskoye,59.7035,30.7861,261.48,85,90,4.0,RU,1613063128
17,gornopravdinsk,60.05,69.9,241.95,86,0,1.75,RU,1613063130
18,carutapera,-1.195,-46.02,303.73,61,90,4.35,BR,1613063131
19,miandrivazo,-19.5167,45.4667,297.26,90,100,1.62,MG,1613063132
20,jamestown,42.097,-79.2353,269.15,58,40,2.06,US,1613063133
21,punta arenas,-53.15,-70.9167,289.15,41,0,7.72,CL,1613063134
22,busselton,-33.65,115.3333,284.26,91,0,4.91,AU,1613063135
23,castro,-24.7911,-50.0119,295.2,73,100,1.86,BR,1613063137
24,esperance,-33.8667,121.9,289.15,67,90,1.54,AU,1613062990
25,rypefjord,70.6333,23.6667,269.15,86,40,1.03,NO,1613063139
26,ancud,-41.8697,-73.8203,292.59,77,90,4.63,CL,1613063140
27,dawei,14.0833,98.2,295.22,73,89,1.56,MM,1613063141
28,fare,-16.7,-151.0167,300.77,70,0,4.87,PF,1613063143
29,alto araguaia,-17.3147,-53.2153,300.94,64,100,3.11,BR,1613063144
30,sicuani,-14.2694,-71.2261,287.45,44,36,2.22,PE,1613062930
31,margate,51.3813,1.3862,273.71,60,53,1.34,GB,1613063146
32,wukari,7.85,9.7833,307.78,9,37,1.8,NG,1613063147
33,kumba,4.6363,9.4469,303.3,58,8,2.6,CM,1613063123
34,san patricio,28.017,-97.5169,279.15,93,90,8.23,US,1613063150
35,ledyard,41.4398,-72.0142,274.26,51,1,2.06,US,1613063151
36,olinda,-8.0089,-34.8553,302.15,58,40,5.66,BR,1613063152
37,roebourne,-20.7833,117.1333,301.47,67,64,5.51,AU,1613063153
38,banda aceh,5.5577,95.3222,299.52,76,22,1.83,ID,1613063154
39,viedma,-40.8135,-62.9967,303.15,37,0,2.24,AR,1613063155
40,barrow,71.2906,-156.7887,230.15,82,1,5.66,US,1613063050
41,roald,62.5833,6.1333,269.15,50,0,4.63,NO,1613063158
42,butaritari,3.0707,172.7902,300.44,78,71,5.85,KI,1613063159
43,east london,-33.0153,27.9116,299.15,83,0,6.17,ZA,1613063160
44,chokurdakh,70.6333,147.9167,245.87,86,2,1.93,RU,1613063161
45,beidao,34.5686,105.8933,280.61,53,11,1.76,CN,1613062943
46,cockburn town,21.4612,-71.1419,300.15,65,40,4.63,TC,1613063163
47,kapaa,22.0752,-159.319,294.15,60,75,4.12,US,1613063165
48,vila,42.0304,-8.1588,285.93,94,97,4.02,PT,1613063166
49,muscatine,41.4667,-91.1335,259.82,61,75,5.14,US,1613063167
50,bandrele,-12.9067,45.1914,302.15,74,0,3.09,YT,1613063168
51,korla,41.7597,86.1469,273.86,80,97,1.17,CN,1613063169
52,lata,40.1629,-8.3327,290.37,99,100,4.02,PT,1613063171
53,sitka,57.0531,-135.33,269.15,30,1,2.57,US,1613063172
54,calatayud,41.3535,-1.6432,290.15,45,100,2.57,ES,1613063173
55,havre-saint-pierre,50.2334,-63.5986,260.15,85,90,5.66,CA,1613063174
56,hermanus,-34.4187,19.2345,299.26,70,0,2.24,ZA,1613063176
57,carnarvon,-24.8667,113.6333,296.15,94,0,9.26,AU,1613063177
58,hamilton,39.1834,-84.5333,268.71,68,90,6.69,US,1613063147
59,avarua,-21.2078,-159.775,297.15,94,77,0.51,CK,1613063179
60,pandharpur,17.6667,75.3333,297.86,19,24,2.17,IN,1613063180
61,ponta do sol,32.6667,-17.1,293.15,73,40,2.06,PT,1613063181
62,freeport,40.6576,-73.5832,272.04,64,90,3.6,US,1613063098
63,gorontalo,0.5412,123.0595,297.94,90,87,1.36,ID,1613063184
64,codrington,-38.2667,141.9667,288.23,77,59,4.75,AU,1613063185
65,takoradi,4.8845,-1.7554,302.13,76,47,5.03,GH,1613063186
66,puerto baquerizo moreno,-0.9,-89.6,300.15,89,75,3.6,EC,1613063187
67,saint-philippe,-21.3585,55.7679,301.15,54,20,5.66,RE,1613063188
68,new norfolk,-42.7826,147.0587,290.93,91,90,1.47,AU,1613063190
69,dakar,14.6937,-17.4441,297.15,53,0,5.14,SN,1613062702
70,chadiza,-14.0678,32.4392,293.7,96,99,0.96,ZM,1613063192
71,beysehir,37.6773,31.7246,281.02,65,58,5.24,TR,1613063193
72,baoning,25.3378,110.026,287.15,77,75,2.0,CN,1613063194
73,sao filipe,14.8961,-24.4956,296.44,65,0,6.54,CV,1613063195
74,hilo,19.7297,-155.09,293.15,88,90,3.6,US,1613063196
75,dillon,34.4166,-79.3712,289.26,88,90,2.51,US,1613063198
76,grindavik,63.8424,-22.4338,276.15,87,75,8.23,IS,1613063199
77,berdigestyakh,62.0989,126.6992,251.27,90,99,1.35,RU,1613063200
78,rikitea,-23.1203,-134.9692,298.93,74,88,4.17,PF,1613063201
79,vaini,-21.2,-175.2,298.15,94,75,2.06,TO,1613063202
80,idrinskoye,54.3708,92.1358,243.29,79,42,0.77,RU,1613063203
81,qaanaaq,77.484,-69.3632,258.81,70,0,6.49,GL,1613063204
82,faanui,-16.4833,-151.75,300.82,71,0,5.74,PF,1613063206
83,kruisfontein,-34.0033,24.7314,297.31,82,100,4.5,ZA,1613063207
84,lorengau,-2.0226,147.2712,300.09,77,100,3.09,PG,1613063208
85,moerai,-22.4333,-151.3333,300.18,65,59,2.58,PF,1613063209
86,tiarei,-17.5333,-149.3333,298.71,83,75,8.23,PF,1613063069
87,san cristobal,7.7669,-72.225,302.15,54,40,3.6,VE,1613063212
88,airai,-8.9266,125.4092,289.51,100,98,0.56,TL,1613063213
89,almeirim,-1.5233,-52.5817,304.45,59,30,2.95,BR,1613063214
90,chuy,-33.6971,-53.4616,296.94,83,100,7.69,UY,1613062974
91,ribeira grande,38.5167,-28.7,290.15,77,75,12.86,PT,1613063216
92,ajdabiya,30.7554,20.2263,290.53,76,0,7.12,LY,1613063217
93,kavaratti,10.5669,72.642,301.13,54,5,1.97,IN,1613063219
94,saldanha,-33.0117,17.9442,300.15,50,0,7.72,ZA,1613063221
95,manicore,-5.8092,-61.3003,296.86,97,100,1.7,BR,1613063222
96,menongue,-14.6585,17.691,295.4,61,100,1.38,AO,1613063223
97,longyearbyen,78.2186,15.6401,256.15,71,75,3.09,SJ,1613063224
98,taranto,40.6167,17.25,288.15,58,0,3.6,IT,1613063225
99,bodden town,19.2833,-81.25,302.59,70,20,6.69,KY,1613063226
100,narsaq,60.9167,-46.05,276.15,25,75,15.95,GL,1613063228
101,pangnirtung,66.1451,-65.7125,251.15,84,90,1.54,CA,1613063229
102,tasiilaq,65.6145,-37.6368,264.15,62,90,7.2,GL,1613063230
103,conde,-7.2597,-34.9075,305.15,58,40,8.23,BR,1613063231
104,makat,47.6469,53.3463,274.98,89,99,5.2,KZ,1613063232
105,port-cartier,50.0334,-66.8654,262.59,78,90,5.14,CA,1613063069
106,thompson,55.7435,-97.8558,237.15,68,75,2.06,CA,1613063235
107,dikson,73.5069,80.5464,244.67,88,100,2.05,RU,1613063236
108,asuncion nochixtlan,17.4667,-97.2333,292.09,49,21,1.24,MX,1613063237
109,beringovskiy,63.05,179.3167,241.5,85,99,7.18,RU,1613063238
110,kahului,20.8947,-156.47,292.04,77,20,1.54,US,1613063239
111,kieta,-6.2167,155.6333,299.19,80,99,2.02,PG,1613063240
112,otane,-39.8833,176.6333,284.56,72,43,1.6,NZ,1613063242
113,bengkulu,-3.8004,102.2655,298.15,88,100,1.91,ID,1613063243
114,saint george,37.1041,-113.5841,281.15,49,1,0.33,US,1613062947
115,merced,37.1666,-120.7516,284.82,76,1,3.09,US,1613063245
