,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mayo,38.8876,-76.5119,30.99,86,90,10.36,US,1613670007
1,nome,64.5011,-165.4064,-13.0,70,1,4.81,US,1613669817
2,mataura,-46.1927,168.8643,51.01,92,70,4.0,NZ,1613670009
3,cherskiy,68.75,161.3,-29.4,97,0,1.07,RU,1613670011
4,castro,-24.7911,-50.0119,78.28,42,0,5.97,BR,1613670012
5,chapais,49.7834,-74.8492,3.2,72,90,3.44,CA,1613669966
6,georgetown,5.4112,100.3354,80.6,57,20,10.36,MY,1613669742
7,laguna,38.421,-121.4238,48.99,57,1,3.44,US,1613669891
8,ushuaia,-54.8,-68.3,53.6,50,20,3.44,AR,1613670017
9,luau,-10.7073,22.2247,68.14,94,96,3.87,AO,1613670019
10,bagotville,-28.9833,153.4167,73.4,94,63,3.44,AU,1613670020
11,san cristobal,7.7669,-72.225,84.2,58,40,9.22,VE,1613670021
12,kapaa,22.0752,-159.319,73.4,78,75,14.97,US,1613670022
13,nikolskoye,59.7035,30.7861,5.0,78,40,6.71,RU,1613670023
14,hilo,19.7297,-155.09,69.8,88,90,6.91,US,1613670024
15,hithadhoo,-0.6,73.0833,83.46,73,38,9.48,MV,1613669891
16,rikitea,-23.1203,-134.9692,78.91,63,22,7.76,PF,1613670027
17,morro bay,35.3658,-120.8499,60.01,35,0,5.59,US,1613670028
18,port moresby,-9.4431,147.1797,78.51,80,100,3.15,PG,1613670029
19,punta arenas,-53.15,-70.9167,53.6,54,40,27.63,CL,1613670030
20,manokwari,-0.8667,134.0833,79.18,80,100,4.25,ID,1613670031
21,camana,-16.6228,-72.7111,77.32,71,13,10.87,PE,1613670033
22,hermanus,-34.4187,19.2345,66.99,68,11,1.99,ZA,1613670034
23,qaanaaq,77.484,-69.3632,-9.9,97,93,6.38,GL,1613670035
24,marion,39.7684,-86.1555,26.01,74,75,5.57,US,1613670018
25,klaksvik,62.2266,-6.589,42.8,87,20,9.22,FO,1613670037
26,itarema,-2.9248,-39.9167,84.49,68,77,12.55,BR,1613670038
27,arraial do cabo,-22.9661,-42.0278,86.0,65,0,12.66,BR,1613670039
28,cidreira,-30.1811,-50.2056,78.28,71,1,8.48,BR,1613669918
29,saint-philippe,-21.3585,55.7679,78.8,94,90,4.61,RE,1613670042
30,lulea,65.5842,22.1547,12.2,92,75,1.9,SE,1613669967
31,puerto ayora,-0.7393,-90.3518,84.2,70,40,5.75,EC,1613670044
32,bengkulu,-3.8004,102.2655,76.19,88,96,5.03,ID,1613670045
33,jamestown,42.097,-79.2353,25.0,86,90,6.91,US,1613670046
34,buloh kasap,2.5536,102.764,75.2,83,20,6.91,MY,1613670047
35,yumen,40.2833,97.2,35.98,32,0,17.56,CN,1613669945
36,atuona,-9.8,-139.0333,79.03,77,23,11.48,PF,1613670050
37,albany,42.6001,-73.9662,27.0,42,100,2.71,US,1613670051
38,ulladulla,-35.35,150.4667,64.4,100,75,5.75,AU,1613670052
39,duluth,46.7833,-92.1066,15.01,73,40,5.75,US,1613670053
40,tuktoyaktuk,69.4541,-133.0374,-20.2,76,90,4.61,CA,1613670054
41,new norfolk,-42.7826,147.0587,64.4,63,0,13.8,AU,1613670055
42,mahebourg,-20.4081,57.7,80.6,89,20,2.3,MU,1613670056
43,balkanabat,39.5108,54.3671,38.75,89,100,2.51,TM,1613670058
44,bluff,-46.6,168.3333,51.01,92,84,4.0,NZ,1613670059
45,henties bay,-22.116,14.2845,66.0,84,2,4.0,NA,1613670004
46,dikson,73.5069,80.5464,-22.45,91,98,10.67,RU,1613670061
47,arlit,18.7369,7.3853,69.62,9,2,7.07,NE,1613670062
48,zigong,29.3416,104.7769,58.93,69,100,2.75,CN,1613670064
